BranchCode,SiteCode,FleetCode,CustomerCode,ModelCode,AssetName,SerialNumber,RegistrationCounter,ComponentCode,ModifierCode,TaskTypeCode,TaskCounterCode,StrategyTaskDescription,FrequencyValue,LifeToDateValue,PrimaryPartNumberCode,NextPartNumberCode,SourceOfSupplyCode,StrategyUOMCode,StrategyUsageValue,NewStrategyUsageValue,StrategyDate,NewStrategyDate,SalesStatusCode,ReviewStatusCode,PartClassificationCode,SalesLostReasonCode,SalesStatusCommentsNote,PurchaseOrderNumber
WA - BHP Billiton,BHP-Newman Operations,BHP-Newman Operations-Trucks,BHP BILLITON IRON ORE,793F CMD,DT5316 - RBT00177,0RBT00177,058901,1000,00,RB,0,1000.00.RB.0 ENGINE,24000,10551,5632134X,5632134XCCR,503,H,65753,,20260712,20260712,Sale Confirmed,Not Reviewed,503 PEX CONTRACT,,Per WAIO 793 Forecast Nov 25 - TROPer CSM Forecast Nov 25 - TRO;Per CSM Forecast October 25 - TROPer CSM Forecast September 2025 - TRO;Per CSM Forecast July 25 - TRO; Per CSM Forecast June 25 - TRO; Per CSM Forecast May 25 - TRO;  BHP RLEP DATE AND PART NUMBERPer CSM Forecast April 25 - TRO:Per CSM Forecast March 25 - TRO;BHP RLEP DATE AND PART NUMBER DO NOT DELETEBHP RLEP DATE AND PART NUMBER DO NOT DELETE BHP RLEP DATE AND PART NUMBER DO NOT DELETE,MR09379
WA - BHP Billiton,BHP-South Flank,BHP-South Flank-Dozers,BHP BILLITON IRON ORE,D10T2,DZ8065 - RAB00473,0RAB00473,058901,1000,00,RB,0,1000.00.RB.0 ENGINE,20000,12600,10R7244,10R7244,000,H,31838,,20270131,20270131,Confident,Not Reviewed,000 CAT REMAN,,Per CSM Forecast Nov 25 - TRO;Per CSM Forecast October 25 - TROPer CSM Forecast September 2025 - TRO;Per CSM Foreast August 25 - TRO;Per CSM Forecast July 25 - TRO;Per CSM Master Sales Status Report April 2024 - TRO;,
WA - BHP Billiton,BHP-South Flank,BHP-South Flank-Wheel Dozers,BHP BILLITON IRON ORE,854K,DZ2234 - RM600267,0RM600267,058901,1000,00,RB,0,1000.00.RB.0 ENGINE / 20R4346 + Engine Brake to Spec CAT NEW,15000,14009,3402665X,3402665X,501,H,33883,,20260820,20260930,Sale Confirmed,Not Reviewed,503 PEX CONTRACT,,NH- Per Pex BO 24/3/26,4519335483
WA - BHP Billiton,BHP-South Flank,BHP-South Flank-Loaders,BHP BILLITON IRON ORE,988K,WL5388 - L8X00229,0L8X00229,058901,1000,00,RB,0,1000.00.RB.0 ENGINE,15000,14236,3760678X,3760678X,501,H,30874,,20261109,20260731,Confident,Not Reviewed,503 PEX CONTRACT,,Per CSM Master Sales Status Report April 2024 - TRO; Sep 2023 Rolling Changeout - MSC;,
WA - BHP Billiton,BHP-South Flank,BHP-South Flank-Loaders,BHP BILLITON IRON ORE,988K,WL5389 - L8X00245,0L8X00245,058901,1000,00,RB,0,1000.00.RB.0 ENGINE,15000,14848,3760678X,3760678X,501,H,31178,,20260914,20260531,Confident,Not Reviewed,503 PEX CONTRACT,,Per CSM Master Sales Status Report April 2024 - TRO;,
WA - BHP Billiton,BHP-Jimblebar South,BHP-Jimblebar South-Dozers,BHP BILLITON IRON ORE,D10T2,DZ8039 - RAB00238,0RAB00238,058901,1000,00,RB,0,1000.00.RB.0 ENGINE,20000,22256,10R7244,10R7244,000,H,40534,,20260831,20260831,Confident,Not Reviewed,000 CAT REMAN,,Per CSM Forecast Nov 25 - TRO;Per CSM Forecast October 25 - TROPer CSM Forecast September 2025 - TRO;Per CSM Forecast July 25 - TRO; Per CSM Forecast June 25 - TRO; Per CSM Forecast May 25 - TRO;  Per CSM Forecast April 25 - TRO:Per CSM Forecast March 25 - TRO;Per CSM Master Sales Status Report April 2024 - TRO;,
WA - BHP Billiton,BHP-Jimblebar South,BHP-Jimblebar South-Dozers,BHP BILLITON IRON ORE,D10T2,DZ8040 - RAB00239,0RAB00239,058901,1000,00,RB,0,1000.00.RB.0 ENGINE,20000,19816,10R7244,10R7244,000,H,36951,,20260930,20260930,Confident,Not Reviewed,000 CAT REMAN,,Per CSM Forecast Nov 25 - TRO;Per CSM Forecast October 25 - TROPer CSM Forecast September 2025 - TRO;Per CSM Forecast July 25 - TRO; Per CSM Forecast June 25 - TRO; Per CSM Forecast May 25 - TRO;  Per CSM Forecast April 25 - TRO:Per CSM Forecast March 25 - TRO;Per CSM Forecast Feb 25 - TRO Per CSM Forecast Dec 24 - TRO;Per CSM Forecast Nov 24 - TROPER CSM FORECAST OCT 24 - TROPER CSM FORECAST SEPTEMBER 2024 - TRO: Per CSM Master Sales Status Report April 2024 - TRO;,
WA - BHP Billiton,BHP-Area C,BHP-Area C-Parked Equipment,BHP BILLITON IRON ORE,793F,DT5278 - SSP01040,0SSP01040,058901,1000,00,RB,0,1000.00.RB.0 ENGINE,24000,16627,5632134X,5632134X,501,H,82869,,20270329,20270630,Confident,Not Reviewed,503 PEX CONTRACT,,Per WAIO 793 Forecast Nov 25 - TROPer CSM Forecast Nov 25 - TRO;Per CSM Forecast October 25 - TROPer CSM Forecast September 2025 - TRO;Per CSM Foreast August 25 - TRO;Per CSM Forecast July 25 - TRO;Per WAIO 793F Forecast Mar 25 - TROPer WAIO Engine 793F Forecast April 2024 TRO;Per CSM Master Sales Status Report April 2024 - TRO; Per WAIO 793F Engine Report March 2024 - MSC; Per Feb Rolling Changeouts 5/3 - TRO,
WA - BHP Billiton,BHP-Newman Operations,BHP-Newman Operations-Parked Equipment,BHP BILLITON IRON ORE,793F CMD,DT5281 - SSP01051,0SSP01051,058901,1000,00,RB,0,1000.00.RB.0 ENGINE,24000,13130,5632134X,20R8757,000,H,82295,,20260807,20260807,Confident,Not Reviewed,000 CAT REMAN,,Per WAIO 793 Forecast Nov 25 - TROPer CSM Forecast Nov 25 - TRO;Per CSM Forecast October 25 - TROPer CSM Forecast September 2025 - TRO;Per CSM Forecast July 25 - TRO; Per CSM Forecast June 25 - TRO; Per CSM Forecast May 25 - TRO;  BHP RLEP DATE AND PART NUMBERPer CSM Forecast April 25 - TRO:Per CSM Forecast March 25 - TRO;BHP RLEP DATE AND PART NUMBER DO NOT DELETEBHP RLEP DATE AND PART NUMBER DO NOT DELETE BHP RLEP DATE AND PART NUMBER DO NOT DELETE;,
WA - BHP Billiton,BHP-Jimblebar South,BHP-Jimblebar South-Wheel Dozers,BHP BILLITON IRON ORE,854K,DZ2224 - RM300252,0RM300252,058901,1000,00,RB,0,1000.00.RB.0 ENGINE / 20R4346 + Engine Brake to Spec CAT NEW,15000,17445,3402665X,3402665X,501,H,51112,,20260702,20260831,Unlikely,Not Reviewed,503 PEX CONTRACT,,,
